event_id,method,auprc,roc_auc,localization_error_seconds,within_0p15,within_0p30,within_0p60,top_1pct_recall,false_positive_burden,calibration_error,center_shift_seconds
EDR021,baseline:D_e_normalized,0.03193423339137715,0.42214912280701755,5.9399999999999995,False,False,False,0.0,,,-0.03
EDR021,baseline:D_e_positive,0.1252942181882022,0.5279605263157894,0.20999999999999996,False,True,True,0.1111111111111111,,,-0.03
EDR021,baseline:E_parallel_abs,0.08208404183430723,0.7441520467836258,0.17999999999999972,False,True,True,0.0,,,-0.03
EDR021,baseline:E_prime_magnitude,0.4886425834701697,0.8903508771929824,0.17999999999999972,False,True,True,0.3333333333333333,,,-0.03
EDR021,baseline:J_magnitude,0.10324419392881941,0.6915204678362573,0.8399999999999999,False,False,False,0.1111111111111111,,,-0.03
EDR021,baseline:Q,0.28576190725648526,0.8464912280701753,3.3599999999999994,False,False,False,0.2222222222222222,,,-0.03
EDR021,baseline:pressure_anisotropy_abs,0.5969206613645424,0.9634502923976609,0.08999999999999986,True,True,True,0.4444444444444444,,,-0.03
EDR021,nonlinear_invariant,0.10086922436176837,0.8282163742690059,0.8399999999999999,False,False,False,0.0,0.01536450456950375,0.015241226309951752,-0.03
EDR021,sparse_invariant,0.21448080434552785,0.8614766081871345,0.03000000000000025,True,True,True,0.1111111111111111,0.03690226911051179,0.013331959405137246,-0.03
EDR022,baseline:D_e_abs,0.7644230769230769,0.9916387959866221,0.5700000000000003,False,False,True,0.75,,,-0.03
EDR022,baseline:D_e_normalized,0.013023361815735905,0.37876254180602004,5.58,False,False,False,0.0,,,-0.03
EDR022,baseline:D_e_positive,0.013201320132013201,0.2625418060200669,0.6000000000000005,False,False,False,0.0,,,-0.03
EDR022,baseline:E_parallel_abs,0.14712560167105623,0.8812709030100335,0.6000000000000005,False,False,False,0.0,,,-0.03
EDR022,baseline:E_prime_magnitude,0.02575874299837899,0.6881270903010034,3.69,False,False,False,0.0,,,-0.03
EDR022,baseline:J_magnitude,1.0,1.0,0.0,True,True,True,1.0,,,-0.03
EDR022,baseline:Q,0.45971933471933474,0.9623745819397993,0.02999999999999936,True,True,True,0.5,,,-0.03
EDR022,baseline:pressure_anisotropy_abs,0.009021323495110308,0.10284280936454851,3.75,False,False,False,0.0,,,-0.03
EDR022,nonlinear_invariant,1.0,1.0,0.0,True,True,True,1.0,0.007064811958997737,0.014061554910181323,-0.03
EDR022,sparse_invariant,0.8088235294117647,0.9891304347826088,0.41999999999999993,False,False,True,0.75,0.031056432302568465,0.03474301484151132,-0.03
EDR023,baseline:D_e_abs,0.35906990251281523,0.8711701734957549,0.2699999999999996,False,True,True,0.2222222222222222,,,-0.03
EDR023,baseline:D_e_normalized,0.025940729239176497,0.41934293097083797,1.6799999999999997,False,False,False,0.0,,,-0.03
EDR023,baseline:D_e_positive,0.06200312609480691,0.45773348098929495,0.2999999999999998,False,True,True,0.1111111111111111,,,-0.03
EDR023,baseline:E_parallel_abs,0.19707298720305333,0.7785160575858249,0.03000000000000025,True,True,True,0.1111111111111111,,,-0.03
EDR023,baseline:E_prime_magnitude,0.04776449054612787,0.6459948320413438,0.75,False,False,False,0.0,,,-0.03
EDR023,baseline:J_magnitude,0.9273504273504274,0.9937246216315984,0.03000000000000025,True,True,True,0.4444444444444444,,,-0.03
EDR023,baseline:Q,0.6968099371200145,0.9361387966039129,0.27000000000000046,False,True,True,0.4444444444444444,,,-0.03
EDR023,baseline:pressure_anisotropy_abs,0.02018901389416233,0.24510889627168697,1.38,False,False,False,0.0,,,-0.03
EDR023,nonlinear_invariant,1.0,0.9999999999999999,0.1200000000000001,True,True,True,0.4444444444444444,0.03768160721407774,0.04603199806480422,-0.03
EDR023,sparse_invariant,0.9888888888888892,0.9996308600959763,0.03000000000000025,True,True,True,0.4444444444444444,0.05142209910297898,0.05843768318999436,-0.03
EDR025,baseline:D_e_abs,0.258080146419036,0.7737172388335178,3.6899999999999995,False,False,False,0.2222222222222222,,,-0.03
EDR025,baseline:D_e_normalized,0.057816947551776104,0.7482465854558877,0.8700000000000001,False,False,False,0.0,,,-0.03
EDR025,baseline:D_e_positive,0.38711275975768733,0.9125138427464009,3.6899999999999995,False,False,False,0.3333333333333333,,,-0.03
