event_id,method,auprc,roc_auc,localization_error_seconds,within_0p15,within_0p30,within_0p60,top_1pct_recall,false_positive_burden,calibration_error,ablation
EDR041,nonlinear_invariant,0.2720496894409938,0.9746666666666667,2.8200000000000003,False,False,False,0.0,0.01981265798146919,0.01587069696584721,field_velocity_only
EDR041,sparse_invariant,0.6948717948717948,0.9773333333333333,0.0,True,True,True,0.6,0.034179789921786954,0.0344520880399834,field_velocity_only
EDR054,nonlinear_invariant,0.8430555555555556,0.9865573770491803,0.02999999999999936,True,True,True,0.4,0.010614151383522202,0.019607495898428924,field_velocity_only
EDR054,sparse_invariant,0.8730555555555556,0.9944262295081967,0.0,True,True,True,0.4,0.022206895496596653,0.0068139766574735975,field_velocity_only
EDR060,nonlinear_invariant,0.04148189319921023,0.7763934426229508,0.54,False,False,True,0.0,0.026128482422211288,0.010200737729250335,field_velocity_only
EDR060,sparse_invariant,0.05560568086883876,0.8321311475409836,0.6299999999999999,False,False,False,0.0,0.04541592858393015,0.029678533600821528,field_velocity_only
EDR064,nonlinear_invariant,0.3839861751152074,0.6966666666666667,0.0,True,True,True,0.3,0.009433029747181909,0.022115318852781195,field_velocity_only
EDR064,sparse_invariant,0.46958793053575487,0.8720000000000001,0.0,True,True,True,0.2,0.021623259599543653,0.009172941889752092,field_velocity_only
EDR066,nonlinear_invariant,0.6808399286530595,0.8333333333333333,0.0,True,True,True,0.4444444444444444,0.009360613290798299,0.018201324021601954,field_velocity_only
EDR066,sparse_invariant,0.726302729528536,0.9207407407407407,0.0,True,True,True,0.4444444444444444,0.019860109508335295,0.009157260998933497,field_velocity_only
EDR072,nonlinear_invariant,0.5833333333333334,0.9916666666666667,3.48,False,False,False,0.2857142857142857,0.024305835500792055,0.036350497309916005,field_velocity_only
EDR072,sparse_invariant,0.982142857142857,0.9995238095238096,0.08999999999999986,True,True,True,0.5714285714285714,0.04505188489284951,0.05555070554329685,field_velocity_only
EDR001,nonlinear_invariant,0.7806293706293705,0.9897009966777408,0.03000000000000025,True,True,True,0.4,0.009295778486636297,0.02063090970540628,established_only
EDR001,sparse_invariant,0.6557925693680842,0.9857142857142858,0.0,True,True,True,0.3,0.02527392801381134,0.004363947254284129,established_only
EDR003,nonlinear_invariant,0.27076923076923076,0.9165079365079365,0.8100000000000005,False,False,False,0.4,0.012461507465776796,0.0064113638491042,established_only
EDR003,sparse_invariant,0.10824404761904761,0.9085714285714286,5.1,False,False,False,0.0,0.03849845469738742,0.02459526525975642,established_only
EDR007,nonlinear_invariant,0.5003471603471604,0.8524590163934426,3.0900000000000003,False,False,False,0.1,0.040524414321466556,0.02261106816264782,established_only
EDR007,sparse_invariant,0.7895189227072488,0.8734426229508196,0.02999999999999936,True,True,True,0.4,0.046878205719445905,0.0465228559924754,established_only
EDR011,nonlinear_invariant,0.17019400352733685,0.9402777777777778,4.26,False,False,False,0.0,0.07802285380348645,0.060434083514058476,established_only
EDR011,sparse_invariant,0.59548294495103,0.9583333333333333,0.02999999999999936,True,True,True,0.5,0.24709950720795926,0.23939708254746567,established_only
EDR013,nonlinear_invariant,0.6845549330843449,0.967,0.41999999999999993,False,False,True,0.4,0.020326171115078062,0.019559103864193895,established_only
EDR013,sparse_invariant,0.5043398268398268,0.9593333333333334,0.41999999999999993,False,False,True,0.2,0.033650328874971165,0.01889537913836127,established_only
EDR014,nonlinear_invariant,0.7,0.995,1.4699999999999998,False,False,False,0.14285714285714285,0.025977466587161574,0.02106884618405227,established_only
