noise_fraction,trial,method,auprc,improvement_survives
0.005,33,baseline:D_e_abs,0.38614501392991246,False
0.005,33,baseline:D_e_normalized,0.05516982264934991,False
0.005,33,baseline:D_e_positive,0.3152673434799821,False
0.005,33,baseline:E_parallel_abs,0.23220207121648906,False
0.005,33,baseline:E_prime_magnitude,0.22077444498132084,False
0.005,33,baseline:J_magnitude,0.7206846167715293,False
0.005,33,baseline:Q,0.39091132879851154,False
0.005,33,baseline:pressure_anisotropy_abs,0.15578521838260137,False
0.005,33,nonlinear_invariant,0.5910204265349058,False
0.005,33,sparse_invariant,0.6230663310761466,False
0.005,34,baseline:D_e_abs,0.3892271033818106,False
0.005,34,baseline:D_e_normalized,0.05475626347261978,False
0.005,34,baseline:D_e_positive,0.31867337955118974,False
0.005,34,baseline:E_parallel_abs,0.23475124780152679,False
0.005,34,baseline:E_prime_magnitude,0.220609267974309,False
0.005,34,baseline:J_magnitude,0.7197443823712919,False
0.005,34,baseline:Q,0.3985815028430264,False
0.005,34,baseline:pressure_anisotropy_abs,0.1549289440221158,False
0.005,34,nonlinear_invariant,0.5893637832722556,False
0.005,34,sparse_invariant,0.618936180547094,False
0.005,35,baseline:D_e_abs,0.3848393709575421,False
0.005,35,baseline:D_e_normalized,0.052591343873338296,False
0.005,35,baseline:D_e_positive,0.31624872973261187,False
0.005,35,baseline:E_parallel_abs,0.23440528288154294,False
0.005,35,baseline:E_prime_magnitude,0.22090058660708092,False
0.005,35,baseline:J_magnitude,0.7203038857738591,False
0.005,35,baseline:Q,0.40369622253480264,False
0.005,35,baseline:pressure_anisotropy_abs,0.15646576606367715,False
0.005,35,nonlinear_invariant,0.5725148668784826,False
0.005,35,sparse_invariant,0.6194527616152671,False
0.005,36,baseline:D_e_abs,0.38695566910008733,False
0.005,36,baseline:D_e_normalized,0.055006186447210004,False
0.005,36,baseline:D_e_positive,0.3171802636050331,False
0.005,36,baseline:E_parallel_abs,0.23555209495039509,False
0.005,36,baseline:E_prime_magnitude,0.22217651267425628,False
0.005,36,baseline:J_magnitude,0.7206472690083978,False
0.005,36,baseline:Q,0.39024881875935424,False
0.005,36,baseline:pressure_anisotropy_abs,0.15479165186484398,False
0.005,36,nonlinear_invariant,0.5818093277396925,False
0.005,36,sparse_invariant,0.6227238528667042,False
0.005,37,baseline:D_e_abs,0.3873972540266944,False
0.005,37,baseline:D_e_normalized,0.05532113615660122,False
0.005,37,baseline:D_e_positive,0.31811380400891864,False
0.005,37,baseline:E_parallel_abs,0.232990067325998,False
0.005,37,baseline:E_prime_magnitude,0.22148904731820032,False
0.005,37,baseline:J_magnitude,0.7215454423333735,False
0.005,37,baseline:Q,0.39753174116450113,False
0.005,37,baseline:pressure_anisotropy_abs,0.154960612516778,False
0.005,37,nonlinear_invariant,0.5821397924539707,False
0.005,37,sparse_invariant,0.6108827766227537,False
0.005,38,baseline:D_e_abs,0.3897938743794358,False
0.005,38,baseline:D_e_normalized,0.055379854004406114,False
0.005,38,baseline:D_e_positive,0.31794907721978266,False
0.005,38,baseline:E_parallel_abs,0.23551558431517158,False
0.005,38,baseline:E_prime_magnitude,0.2203703165614764,False
0.005,38,baseline:J_magnitude,0.7215841800553183,False
0.005,38,baseline:Q,0.389525067137971,False
0.005,38,baseline:pressure_anisotropy_abs,0.1555656618996121,False
0.005,38,nonlinear_invariant,0.5802962882996038,False
0.005,38,sparse_invariant,0.6232615521566037,False
0.005,39,baseline:D_e_abs,0.38340789127516306,False
0.005,39,baseline:D_e_normalized,0.055295298575305074,False
0.005,39,baseline:D_e_positive,0.3149794899664348,False
0.005,39,baseline:E_parallel_abs,0.23407665344670228,False
0.005,39,baseline:E_prime_magnitude,0.21875859764325137,False
0.005,39,baseline:J_magnitude,0.720466368921702,False
0.005,39,baseline:Q,0.3989836785711427,False
0.005,39,baseline:pressure_anisotropy_abs,0.1549899975544034,False
0.005,39,nonlinear_invariant,0.5844924174821932,False
0.005,39,sparse_invariant,0.6158486044520731,False
0.005,40,baseline:D_e_abs,0.38880418019042023,False
0.005,40,baseline:D_e_normalized,0.05538676734321049,False
0.005,40,baseline:D_e_positive,0.3155375664898472,False
0.005,40,baseline:E_parallel_abs,0.23541041732857804,False
0.005,40,baseline:E_prime_magnitude,0.2184723042225083,False
0.005,40,baseline:J_magnitude,0.721512413318174,False
0.005,40,baseline:Q,0.3990780834408934,False
0.005,40,baseline:pressure_anisotropy_abs,0.15582102209775997,False
0.005,40,nonlinear_invariant,0.5767775647879791,False
0.005,40,sparse_invariant,0.6200514456877319,False
0.005,41,baseline:D_e_abs,0.38512972758342023,False
