unique_trajectory_identifier,beginning_utc_time,iau_code,sol_lon_deg,lamgeo_deg,betgeo_deg,vgeo_km_s,e,q_au,i_deg,peri_deg,node_deg,sigma_9,sigma_15,sigma_10,sigma_11,sigma_12,medianfiterr_arcsec,num_stat,participating_stations,label,event_id,canonical_target_member,timestamp_key,trajectory_ids,trajectory_count
20250428074446_zrXLC,2025-04-28 07:44:46.859322,,37.928809,248.31393,7.35276,37.95809,0.946296,0.079202,24.709376,333.493819,37.937477,0.0007,0.0011,1.0972,0.2205,0.0004,119.45,10,"['US0002', 'US0004', 'US0008', 'US0009', 'US000C', 'US000E', 'US000H', 'US000K', 'US000M', 'US000N']",SPORADIC,20250428074446_zrXLC,True,20250428074446,20250428074446_zrXLC,1
20250428090835_cw9ZX,2025-04-28 09:08:35.403360,,37.985414,249.09702,6.52067,40.74916,0.968715,0.05608,28.065871,336.786011,37.993617,0.0013,0.001,0.5299,0.1271,0.0002,36.96,2,"['US000U', 'USL002']",SPORADIC,20250428090835_cw9ZX,False,20250428090835,20250428090835_cw9ZX,1
20250428165803_A6kVU,2025-04-28 16:58:03.660431,,38.302471,247.86042,6.75169,38.99637,0.954592,0.076556,23.608215,333.104884,38.306647,0.0032,0.0071,4.1078,1.3954,0.0026,76.68,3,"['NZ0016', 'NZ0033', 'NZ003W']",SPORADIC,20250428165803_A6kVU,True,20250428165803,20250428165803_A6kVU,1
20250428193144_cKN3Y,2025-04-28 19:31:44.672335,,38.406249,249.18877,6.96784,35.65278,0.928233,0.089164,20.635153,333.288125,38.418898,0.0004,0.0004,0.379,0.0626,0.0002,20.94,2,"['KR0004', 'KR001P']",SPORADIC,20250428193144_cKN3Y,True,20250428193144,20250428193144_cKN3Y,1
20250428203753_lOpUS,2025-04-28 20:37:53.602769,,38.450916,248.96751,7.48647,39.01224,0.954249,0.072955,27.059752,334.095587,38.453876,0.0008,0.0015,0.3786,0.3178,0.0001,49.2,2,"['AU0002', 'AU001P']",SPORADIC,20250428203753_lOpUS,True,20250428203753,20250428203753_lOpUS,1
20250428210251_DH03w,2025-04-28 21:02:51.181087,,38.467769,249.3839,5.11997,38.00179,0.953094,0.06691,18.47687,335.919208,38.478293,0.0018,0.0023,2.6447,0.403,0.0022,31.67,2,"['ZA0002', 'ZA0007']",SPORADIC,20250428210251_DH03w,False,20250428210251,20250428210251_DH03w,1
20250429000859_nvMNR,2025-04-29 00:08:59.537005,,38.593452,248.25806,6.77435,41.26527,0.970057,0.063984,27.595191,334.390224,38.601426,0.0008,0.0017,1.5688,0.407,0.0006,48.27,4,"['BE0001', 'FR0006', 'FR000G', 'FR0011']",SPORADIC,20250429000859_nvMNR,False,20250429000859,20250429000859_nvMNR,1
20250429001847_zeGx1,2025-04-29 00:18:47.527942,,38.600068,248.16738,6.7139,39.00217,0.954759,0.076294,23.510748,333.148634,38.610955,0.0025,0.0023,0.8391,0.2882,0.0004,44.17,2,"['RU0001', 'RU0003']",SPORADIC,20250429001847_zeGx1,True,20250429001847,20250429001847_zeGx1,1
20250429044016_joqKV,2025-04-29 04:40:16.566963,,38.776609,249.80255,6.94097,37.43023,0.944592,0.076012,23.426706,334.583115,38.782737,0.0021,0.0028,0.1817,0.4962,0.0001,49.29,3,"['USL00F', 'USL00L', 'USL00M']",SPORADIC,20250429044016_joqKV,True,20250429044016,20250429044016_joqKV,1
20250429051626_jzOa5,2025-04-29 05:16:26.641051,,38.801026,249.17562,7.44437,37.31712,0.940846,0.083404,23.961887,333.122315,38.805354,0.0006,0.0012,0.632,0.2334,0.0001,33.18,2,"['BR000T', 'BR0029']",SPORADIC,20250429051626_jzOa5,True,20250429051626,20250429051626_jzOa5,1
20250429061607_ELNc5,2025-04-29 06:16:07.129093,,38.841312,248.63566,8.76458,38.53481,0.94603,0.087002,28.834243,331.55553,38.846884,0.0116,0.0065,2.2362,1.4724,0.0007,60.03,2,"['US0022', 'US005C']",SPORADIC,20250429061607_ELNc5,True,20250429061607,20250429061607_ELNc5,1
20250429071025_Ubm6T,2025-04-29 07:10:25.296535,,38.87797,248.52524,7.24587,36.58472,0.933421,0.092569,21.630488,331.748128,38.882274,0.0008,0.0017,1.0001,0.3972,0.0003,48.19,2,"['BR001T', 'BR001U']",SPORADIC,20250429071025_Ubm6T,True,20250429071025,20250429071025_Ubm6T,1
