fit_error_arcsec,minimum_stations,radiant_sigma_radius,time_half_width_deg,activity_table,odds_ratio,activity_p,members,members_by_year,represented_years,orbit_median_d,orbit_q90_d,maximum_cross_year_medoid_d,eligible,passed
120.0,3,2.5,4.0,"[[43, 7512], [14, 20445]]",8.35933934276586,3.360492026063407e-14,43,"{'2022': 3, '2023': 3, '2024': 6, '2025': 12, '2026': 19}",5,0.04218162901065501,0.08800526580292876,0.06850863635250068,True,True
120.0,3,2.5,5.0,"[[48, 9063], [14, 20445]]",7.734430415661796,5.156584668660568e-14,48,"{'2022': 3, '2023': 3, '2024': 7, '2025': 12, '2026': 23}",5,0.04435544604585265,0.10588820114647671,0.05427174347001827,True,True
120.0,3,3.0,3.0,"[[46, 5660], [26, 20433]]",6.387048110899701,1.849995279681362e-14,46,"{'2022': 3, '2023': 5, '2024': 7, '2025': 11, '2026': 20}",5,0.042906016744148325,0.07906590797271806,0.06850863635250068,True,True
120.0,3,3.0,4.0,"[[50, 7505], [26, 20433]]",5.235740275713627,1.7236979251071328e-12,50,"{'2022': 3, '2023': 5, '2024': 8, '2025': 13, '2026': 21}",5,0.045291173881308176,0.09290349592393975,0.06850863635250068,True,True
120.0,3,3.0,5.0,"[[55, 9056], [26, 20433]]",4.7729299741777655,6.956416052891942e-12,55,"{'2022': 3, '2023': 5, '2024': 9, '2025': 13, '2026': 25}",5,0.04872301558745127,0.10392514285730244,0.05427174347001827,True,True
120.0,3,3.5,3.0,"[[51, 5655], [40, 20419]]",4.603753315649867,1.2057342898216308e-12,51,"{'2022': 3, '2023': 5, '2024': 7, '2025': 11, '2026': 25}",5,0.04489089950797604,0.09776822447663026,0.056835035323304896,True,True
120.0,3,3.5,4.0,"[[59, 7496], [40, 20419]]",4.017879535752401,9.070324944603069e-12,59,"{'2022': 3, '2023': 6, '2024': 8, '2025': 14, '2026': 28}",5,0.05153370367660388,0.12286966892821087,0.04294413499476811,True,True
120.0,3,3.5,5.0,"[[66, 9045], [40, 20419]]",3.72485903814262,2.303087022464524e-11,66,"{'2022': 3, '2023': 6, '2024': 9, '2025': 14, '2026': 34}",5,0.05412913012115918,0.1144248658989358,0.04294413499476811,True,True
120.0,4,2.5,3.0,"[[29, 3485], [11, 12111]]",9.161836441893831,2.3099848961486215e-11,29,"{'2022': 2, '2023': 2, '2024': 3, '2025': 7, '2026': 15}",5,0.036400407862188906,0.05973410513541146,0.03162121857158853,True,True
120.0,4,2.5,4.0,"[[30, 4596], [11, 12111]]",7.18668407310705,1.7084897009058052e-09,30,"{'2022': 2, '2023': 2, '2024': 3, '2025': 8, '2026': 15}",5,0.03752755757892528,0.06103540544756203,0.03162121857158853,True,True
